,Close,Open,High,Low,peak_price_15m,trough_price_15m,swing_high_t_15m,swing_low_t_15m
2023-01-01 00:00:00,100.02483570765057,100.02483570765057,100.1062570054757,99.89106040144243,,,,
2023-01-01 00:01:00,100.017922492592,100.02483570765057,100.03803767647861,99.85819133652068,,,,
2023-01-01 00:02:00,100.05030691949703,100.017922492592,100.12007102629093,99.83137190477994,,,,
2023-01-01 00:03:00,100.12645841231743,100.05030691949703,100.1486580320757,100.04627934970718,,,,
2023-01-01 00:04:00,100.11475074358127,100.12645841231743,100.28810545431928,100.08399400247862,,,,
2023-01-01 00:05:00,100.10304389573382,100.11475074358127,100.30428834877416,99.92580963692262,,,,
2023-01-01 00:06:00,100.18200453650918,100.10304389573382,100.19646783156077,100.01134018329641,,,,
2023-01-01 00:07:00,100.22037627296683,100.18200453650918,100.41139931442517,100.06908640872248,,,,
2023-01-01 00:08:00,100.19690255367009,100.22037627296683,100.32489159283418,100.06429711292546,,,,
2023-01-01 00:09:00,100.22403055584938,100.19690255367009,100.28394369144016,100.06108923277095,,,,
2023-01-01 00:10:00,100.20085967120876,100.22403055584938,100.23940297090462,100.01451159054545,,,,
2023-01-01 00:11:00,100.17757318353024,100.20085967120876,100.30098452482285,99.9781833000479,,,,
2023-01-01 00:12:00,100.18967129710855,100.17757318353024,100.34857440600669,100.03354169134406,,,,
2023-01-01 00:13:00,100.09400728487566,100.18967129710855,100.33108859256188,100.03656304303463,,,,
2023-01-01 00:14:00,100.00776139325001,100.09400728487566,100.10405248716846,99.83181091279114,,,,
2023-01-01 00:15:00,99.97964701678795,100.00776139325001,100.02234176032358,99.9698028338798,,,,
2023-01-01 00:16:00,99.92900546077124,99.97964701678795,100.06022167331447,99.88278929019634,,,,
2023-01-01 00:17:00,99.94471782740099,99.92900546077124,100.00377592621058,99.74952831727849,,,,
2023-01-01 00:18:00,99.89931662362494,99.94471782740099,99.9911946920122,99.84807832073707,,,,
2023-01-01 00:19:00,99.82870143855817,99.89931662362494,99.95551752340668,99.78457122663382,,,,
2023-01-01 00:20:00,99.90198387700426,99.82870143855817,100.06268042566363,99.80107637993012,,,,
2023-01-01 00:21:00,99.89069506197993,99.90198387700426,100.08782948773063,99.71887271045054,,,,
2023-01-01 00:22:00,99.89407147221432,99.89069506197993,99.97509201111984,99.79068341014171,,,,
2023-01-01 00:23:00,99.82283406290365,99.89407147221432,100.07529367264083,99.68785542229283,,,,
